             BARCODE  INDEX     DATE     S.TIME    E.TIME   CYCLE             JOB        RESULT       USER          LOTINFO        MACHINE        
                MN634850 24857 11/10/2020   16:43:32  16:43:40      8   A5E41637164-04-TOP     FAIL           SV              KOHYOUNG
Component ID,Volume(%),Height(um),Area(%),OffsetX(%),OffsetY(%),Volume(um3),Area(um2),Result,PinNumber,Pad Verification,Shape,Library_Name,Vol_Min(%),Vol_Max(%),Height_Low(um),Height_High(um),Area_Min(%),Area_Max(%),OffsetX_Error(mm),OffsetY_Error(mm),
1:U280_04,93.243,107.536,104.050,1.287,0.406,43190050,401632,GOOD,11,,84.9um,,45,200,60,230,60,170,0.18,0.18,
1:U280_04,87.689,103.821,101.355,1.926,0.214,40617480,391227,GOOD,10,,69.0um,,45,200,60,230,60,170,0.18,0.18,
1:U280_04,87.945,108.544,97.227,1.491,0.022,40735980,375294,GOOD,9,,66.1um,,45,200,60,230,60,170,0.18,0.18,
1:U280_04,88.704,102.659,103.688,1.447,-0.170,41087460,400235,GOOD,8,,82.6um,,45,200,60,230,60,170,0.18,0.18,
1:C284_04,85.069,122.185,83.547,1.700,0.101,48968640,400773,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:C284_04,80.789,113.781,85.205,1.724,-0.479,46505200,408725,GOOD,2,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:R203_04,95.206,112.289,101.743,-0.010,0.626,130696500,1163926,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:C28_04,72.469,110.923,78.399,1.093,-0.062,41715820,376078,GOOD,2,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:C28_04,77.646,109.106,85.399,1.348,-0.639,44695560,409653,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:H241_04,92.332,110.665,100.120,1.027,-0.657,56610070,511544,GOOD,A,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:H240_04,89.692,107.375,100.238,1.904,1.959,54991370,512144,GOOD,A,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:H200_04,99.049,123.192,96.483,4.011,-2.145,60728530,492957,GOOD,A,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:H201_04,94.311,120.770,93.710,2.978,0.478,57823330,478790,GOOD,A,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:,73.920,109.740,101.038,0.281,-2.926,46440090,423181,GOOD,,,33.0um,PART10,45,200,60,230,60,170,0.18,0.18,
1:R289_04,96.812,117.041,99.260,0.913,-1.072,48657600,415733,GOOD,2,,104.8um,,45,200,60,230,60,170,0.18,0.18,
1:R617_04,97.219,116.723,99.949,0.868,-0.023,48862260,418618,GOOD,1,,69.2um,,45,200,60,230,60,170,0.18,0.18,
1:R616_04,100.058,120.490,99.651,0.678,-3.054,50289080,417371,GOOD,1,,71.8um,,45,200,60,230,60,170,0.18,0.18,
1:N200_04,88.694,106.170,100.247,0.659,-0.087,41082740,386951,GOOD,28,,76.0um,,45,200,60,230,60,170,0.18,0.18,
1:N200_04,86.240,101.981,101.478,3.308,-0.279,39946170,391704,GOOD,27,,59.6um,,45,200,60,230,60,170,0.18,0.18,
1:N200_04,86.989,102.634,101.708,1.439,-0.469,40293400,392592,GOOD,26,,66.2um,,45,200,60,230,60,170,0.18,0.18,
1:N200_04,86.381,104.696,99.007,4.188,-0.660,40011510,382168,GOOD,25,,80.9um,,45,200,60,230,60,170,0.18,0.18,
1:N200_04,86.594,107.306,96.837,1.859,-0.851,40110190,373791,GOOD,24,,57.3um,,45,200,60,230,60,170,0.18,0.18,
1:N200_04,85.003,103.331,98.715,6.170,0.439,39373080,381038,GOOD,23,,66.3um,,45,200,60,230,60,170,0.18,0.18,
1:N200_04,84.460,104.685,96.815,1.182,0.249,39121570,373706,GOOD,22,,51.5um,,45,200,60,230,60,170,0.18,0.18,
1:N200_04,82.628,104.666,94.734,4.647,0.058,38273260,365670,GOOD,21,,47.7um,,45,200,60,230,60,170,0.18,0.18,
1:N200_04,81.341,100.892,96.746,0.854,-0.133,37677180,373440,GOOD,20,,49.4um,,45,200,60,230,60,170,0.18,0.18,
1:N200_04,84.134,105.865,95.368,4.979,-0.324,38970890,368119,GOOD,19,,66.1um,,45,200,60,230,60,170,0.18,0.18,
1:N200_04,83.726,107.872,93.140,4.854,-0.515,38781930,359519,GOOD,18,,55.9um,,45,200,60,230,60,170,0.18,0.18,
1:N200_04,86.303,112.874,91.752,8.241,-0.706,39975500,354160,GOOD,17,,75.4um,,45,200,60,230,60,170,0.18,0.18,
1:N200_04,79.629,106.307,89.887,5.431,-0.896,36884280,346962,GOOD,16,,45.7um,,45,200,60,230,60,170,0.18,0.18,
1:N200_04,80.168,110.238,87.267,7.536,0.396,37133720,336850,GOOD,15,,48.9um,,45,200,60,230,60,170,0.18,0.18,
1:C17_04,83.605,113.903,88.080,0.478,-0.040,48125930,422516,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:C618_04,83.365,113.424,88.199,1.243,-2.779,47987840,423085,GOOD,2,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:C617_04,81.195,115.204,84.575,1.039,-1.780,46738670,405705,GOOD,2,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:C1107_04,80.392,102.582,94.042,-0.071,0.068,333397200,3250051,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:C1107_04,85.452,107.357,95.516,-0.296,-0.304,354384700,3301005,GOOD,2,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:C902_04,96.002,121.321,94.957,0.685,-0.182,225431300,1858135,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:R1106_04,95.984,114.872,100.269,0.336,-0.823,131764500,1147059,GOOD,2,,0.0um,,45,200,60,230,60,170,0.18,0.18,
